"Model","Scenario","Region","Variable","Unit","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050"
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Primary Energy|Non-Biomass Renewables","EJ/yr",27.8781,"","","","",47.7407,87.3615,137.7158,186.6272,231.8505,275.6
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Primary Energy|Biomass","EJ/yr",61.6601,"","","","",71.2129,81.0352,86.6312,99.0484,122.2127,150.2393
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Secondary Energy","EJ/yr",439.0463,"","","","",437.507,454.4033,469.5828,479.1077,500.8164,525.3385
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Primary Energy|Biomass|Electricity","EJ/yr",5.8001,"","","","",6.6288,7.9441,10.35,14.4407,19.6196,24.5744
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",54099.2318,"","","","",42325.5825,33320.8373,25984.4932,20364.6675,15803.5283,10868.6644
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Emissions|CO2","Mt CO2/yr",1151.0325,"","","","",893.2879,666.2946,492.5066,369.1524,298.9819,243.7649
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Emissions|CH4","Mt CH4/yr",1.2529,"","","","",1.099,0.992,0.9229,0.8107,0.7404,0.6864
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Secondary Energy|Electricity|Gas","EJ/yr",1.2889,"","","","",1.0092,0.7336,0.4936,0.1933,0.1252,0.13
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",0.5923,"","","","",0.9173,1.3264,1.7699,2.1688,2.4892,2.764
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Primary Energy|Gas","EJ/yr",4.2367,"","","","",3.6273,2.9897,2.3411,1.5119,1.1511,0.9456
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Secondary Energy|Electricity|Biomass","EJ/yr",0.2304,"","","","",0.3393,0.3857,0.3825,0.371,0.3457,0.3077
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Secondary Energy|Electricity","EJ/yr",3.5922,"","","","",3.3276,3.3356,3.344,3.5288,3.7768,4.0214
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Secondary Energy|Electricity|Coal","EJ/yr",0.9493,"","","","",0.4595,0.2923,0.0502,0.0245,0.0425,0.0758
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Primary Energy|Oil","EJ/yr",7.8495,"","","","",7.2454,6.2871,5.7494,5.1198,4.4639,3.8978
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Primary Energy","EJ/yr",17.618,"","","","",15.4329,13.6811,12.3548,11.2329,10.6108,10.2138
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Primary Energy|Coal","EJ/yr",4.0071,"","","","",2.111,1.1028,0.389,0.1576,0.1897,0.2643
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Primary Energy|Non-Biomass Renewables","EJ/yr",0.6043,"","","","",0.9381,1.3654,1.8457,2.2897,2.6492,2.9588
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Primary Energy|Biomass","EJ/yr",0.6975,"","","","",1.1189,1.3943,1.402,1.415,1.426,1.4573
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Secondary Energy","EJ/yr",12.9457,"","","","",12.079,11.3082,10.6729,9.8979,9.3344,8.8922
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Primary Energy|Biomass|Electricity","EJ/yr",0.5957,"","","","",0.855,0.9605,0.9561,0.9296,0.8659,0.7695
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Japan","Emissions|Kyoto Gases","Mt CO2-equiv/yr",1300.7922,"","","","",990.2654,737.3493,553.177,420.4103,347.9587,290.8119
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Emissions|CO2","Mt CO2/yr",39194.8,"","","","",38613.2,22216.6,10364.5,3219.1,-828.7810000000003,-3010.2
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Emissions|CH4","Mt CH4/yr",346.942,"","","","",351.8640000000001,260.241,240.722,221.434,206.618,191.803
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",52436.6,"","","","",51753.6,32033,19403.8,11566,7035.66,4388.27
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR1p","World","Emissions|CO2","Mt CO2/yr",43627.90616719667,"","","","",29306.42568087806,18609.38059422433,13313.19077653543,9533.188066645182,6368.963997112223,3985.846326703519
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR1p","World","Emissions|CH4","Mt CH4/yr",352.9520466323252,"","","","",276.3600341812151,229.3042233697901,208.8655123366427,189.3864841590567,172.1724758135549,155.9868727648646
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR1p","World","Secondary Energy|Electricity|Gas","EJ/yr",23.87355446230928,"","","","",18.23928471658127,6.779732208451906,3.526060494692163,4.973034519849333,6.687291865475819,7.688778641560535
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR1p","World","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",26.13128028934463,"","","","",64.41657276128936,108.7543753629307,139.6770668292499,164.4116212948475,187.9677317970313,208.8740527023574
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR1p","World","Primary Energy|Gas","EJ/yr",134.6544153788287,"","","","",113.8728201806966,87.98820722497831,75.9618560555898,75.46416809546986,73.7947967040418,76.33982274122857
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR1p","World","Secondary Energy|Electricity|Biomass","EJ/yr",1.323221150948341,"","","","",1.137572181089676,1.171140879604047,1.220712048971574,1.399055450515268,1.651045779868648,1.606220101599249
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR1p","World","Secondary Energy|Electricity","EJ/yr",100.2762622445957,"","","","",110.4261004172928,138.8351449918288,170.4331361334357,204.8050909227037,242.2058573327384,279.49181140528
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR1p","World","Secondary Energy|Electricity|Coal","EJ/yr",36.16708744545416,"","","","",12.11417986480858,3.382209628782384,1.61106884085784,0.5842554314231825,0.1582406000092367,0.172105394635088
